period,timeframe,strategy,ma_params,ma_short,ma_long,final_value,total_return_pct,max_drawdown_pct,sharpe_ratio,num_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,total_fees
Q1_2024_Bull,15m,auto,MA9/21,9.0,21.0,9963.36,-0.366,-6.198,-0.171,132,39.39,0.841,-0.307,1.275,625.23
Q1_2024_Bull,15m,auto,MA10/30,10.0,30.0,9973.7,-0.263,-6.168,-0.088,136,38.24,1.004,-0.375,1.233,627.66
Q1_2024_Bull,15m,auto,MA20/50,20.0,50.0,10234.6,2.346,-4.678,1.312,135,42.96,0.868,-0.278,1.614,653.1
Q1_2024_Bull,15m,auto,MA20/100,20.0,100.0,9776.65,-2.233,-8.019,-1.104,116,43.97,1.289,-0.573,1.018,493.73
Q1_2024_Bull,15m,auto,MA21/55,21.0,55.0,10277.73,2.777,-5.444,1.528,126,40.48,1.014,-0.313,1.605,605.26
Q1_2024_Bull,15m,auto,,,,8756.05,-12.44,-20.63,-2.712,224,36.61,1.767,-0.591,0.888,1833.11
Q1_2024_Bull,15m,mean_reversion,,,,9716.22,-2.838,-3.186,-6.821,80,42.5,0.286,-0.138,0.733,395.23
Q1_2024_Bull,15m,mtf_trend,,,,10153.97,1.54,-1.926,1.219,27,44.44,5.27,-1.281,1.585,57.91
Q1_2024_Bull,15m,supertrend,,,,10489.53,4.895,-3.032,3.21,31,32.26,8.732,-1.037,2.284,76.94
Q1_2024_Bull,15m,trend_following,MA9/21,9.0,21.0,11009.83,10.098,-4.533,4.317,26,65.38,6.072,-1.743,3.198,80.23
Q1_2024_Bull,15m,trend_following,MA10/30,10.0,30.0,10876.74,8.767,-4.327,3.914,27,66.67,5.328,-1.771,2.924,79.88
Q1_2024_Bull,15m,trend_following,MA20/50,20.0,50.0,10839.08,8.391,-4.645,3.739,26,69.23,5.462,-2.325,2.491,79.89
Q1_2024_Bull,15m,trend_following,MA20/100,20.0,100.0,10700.56,7.006,-4.663,3.342,25,64.0,6.322,-2.199,2.187,74.77
Q1_2024_Bull,15m,trend_following,MA21/55,21.0,55.0,11101.73,11.017,-4.793,4.641,24,70.83,6.09,-2.266,3.307,75.37
Q1_2024_Bull,15m,trend_following,,,,11116.29,11.163,-8.547,2.132,68,48.53,6.981,-2.014,1.625,512.89
Q1_2024_Bull,30m,auto,MA9/21,9.0,21.0,10298.69,2.987,-3.878,1.765,59,42.37,1.515,-0.585,1.599,292.72
Q1_2024_Bull,30m,auto,MA10/30,10.0,30.0,10327.79,3.278,-3.703,1.84,62,35.48,1.864,-0.514,1.609,293.79
Q1_2024_Bull,30m,auto,MA20/50,20.0,50.0,10400.99,4.01,-3.184,2.383,60,51.67,1.728,-0.55,1.906,269.64
Q1_2024_Bull,30m,auto,MA20/100,20.0,100.0,10440.62,4.406,-4.803,2.257,53,45.28,2.578,-0.763,1.704,212.11
Q1_2024_Bull,30m,auto,MA21/55,21.0,55.0,10311.93,3.119,-3.858,1.83,59,50.85,1.764,-0.557,1.723,251.14
Q1_2024_Bull,30m,mean_reversion,,,,9981.99,-0.18,-0.546,-0.632,32,53.12,0.396,-0.164,1.519,160.02
Q1_2024_Bull,30m,mtf_trend,,,,10132.87,1.329,-2.013,1.357,18,55.56,5.69,-1.691,1.611,39.89
Q1_2024_Bull,30m,supertrend,,,,10243.77,2.438,-3.209,1.818,23,34.78,9.338,-1.731,1.604,54.88
Q1_2024_Bull,30m,trend_following,MA9/21,9.0,21.0,10491.52,4.915,-5.163,2.526,20,65.0,8.273,-2.916,1.756,64.78
Q1_2024_Bull,30m,trend_following,MA10/30,10.0,30.0,10654.58,6.546,-5.004,3.12,21,61.9,7.421,-2.734,2.028,66.49
Q1_2024_Bull,30m,trend_following,MA20/50,20.0,50.0,10413.05,4.131,-3.793,2.698,19,73.68,6.782,-2.797,2.091,45.05
Q1_2024_Bull,30m,trend_following,MA20/100,20.0,100.0,10351.6,3.516,-4.34,2.14,21,57.14,7.377,-2.619,1.598,55.71
Q1_2024_Bull,30m,trend_following,MA21/55,21.0,55.0,10795.5,7.955,-3.88,4.395,19,73.68,6.86,-2.719,3.112,49.73
Q1_2024_Bull,1h,auto,MA9/21,9.0,21.0,10369.04,3.69,-3.591,2.1,38,50.0,3.351,-0.797,1.832,168.08
Q1_2024_Bull,1h,auto,MA10/30,10.0,30.0,10056.51,0.565,-6.054,0.359,42,42.86,3.794,-1.091,1.158,175.4
Q1_2024_Bull,1h,auto,MA20/50,20.0,50.0,10656.24,6.562,-5.413,3.077,39,58.97,3.707,-1.426,1.929,155.26
Q1_2024_Bull,1h,auto,MA20/100,20.0,100.0,10839.55,8.396,-3.952,3.927,34,55.88,3.866,-0.833,3.08,135.06
Q1_2024_Bull,1h,auto,MA21/55,21.0,55.0,10381.14,3.811,-6.885,1.869,42,50.0,3.729,-1.277,1.5,160.67
Q1_2024_Bull,1h,auto,,,,11173.87,11.739,-9.994,2.541,39,58.97,5.231,-2.722,1.858,380.29
Q1_2024_Bull,1h,mean_reversion,,,,9900.49,-0.995,-1.69,-1.587,19,63.16,0.661,-1.149,0.815,93.85
Q1_2024_Bull,1h,mtf_trend,,,,10266.4,2.664,-3.76,2.036,16,37.5,11.379,-1.414,1.699,47.26
Q1_2024_Bull,1h,supertrend,,,,10636.03,6.36,-3.625,3.784,17,35.29,11.222,-1.908,2.515,45.5
Q1_2024_Bull,1h,trend_following,MA9/21,9.0,21.0,10790.31,7.903,-4.543,3.53,15,66.67,9.776,-2.905,2.639,50.62
Q1_2024_Bull,1h,trend_following,MA10/30,10.0,30.0,10836.18,8.362,-4.705,4.106,17,70.59,8.4,-3.015,2.928,47.95
Q1_2024_Bull,1h,trend_following,MA20/50,20.0,50.0,10990.15,9.902,-4.352,4.343,17,70.59,7.128,-3.182,3.174,52.2
Q1_2024_Bull,1h,trend_following,MA20/100,20.0,100.0,11278.21,12.782,-3.771,5.771,15,80.0,6.689,-3.572,7.602,40.77
Q1_2024_Bull,1h,trend_following,MA21/55,21.0,55.0,11059.82,10.598,-3.638,4.872,16,75.0,7.121,-3.082,4.112,43.86
Q1_2024_Bull,1h,trend_following,,,,12426.64,24.266,-9.994,4.379,38,57.89,9.468,-3.131,2.542,334.89
Q1_2024_Bull,4h,auto,MA9/21,9.0,21.0,10814.91,8.149,-2.246,4.959,7,71.43,12.191,-2.494,5.825,25.55
Q1_2024_Bull,4h,auto,MA10/30,10.0,30.0,10747.52,7.475,-2.735,4.45,7,85.71,10.273,-6.905,4.249,20.5
Q1_2024_Bull,4h,auto,MA20/50,20.0,50.0,10763.45,7.634,-3.314,4.41,9,77.78,9.021,-4.4,3.625,35.14
Q1_2024_Bull,4h,auto,MA20/100,20.0,100.0,11259.45,12.595,-1.211,8.352,6,100.0,11.993,0.0,999.0,12.49
Q1_2024_Bull,4h,auto,MA21/55,21.0,55.0,10716.74,7.167,-3.339,4.19,9,55.56,12.129,-2.016,3.644,35.19
Q1_2024_Bull,4h,mean_reversion,,,,10033.78,0.338,-0.025,2.489,1,100.0,1.164,0.0,999.0,5.03
Q1_2024_Bull,4h,mtf_trend,,,,10560.39,5.604,-3.066,3.913,6,83.33,14.334,-5.125,4.279,16.56
Q1_2024_Bull,4h,supertrend,,,,10399.79,3.998,-3.468,2.828,4,50.0,17.121,-2.448,3.402,15.43
Q1_2024_Bull,4h,trend_following,MA9/21,9.0,21.0,10856.47,8.565,-2.925,5.099,6,83.33,17.065,-6.905,4.707,15.73
Q1_2024_Bull,4h,trend_following,MA10/30,10.0,30.0,10539.84,5.398,-2.735,3.975,6,83.33,13.186,-6.905,3.345,15.34
Q1_2024_Bull,4h,trend_following,MA20/50,20.0,50.0,10666.78,6.668,-4.534,3.602,6,66.67,16.436,-6.281,2.61,20.29
Q1_2024_Bull,4h,trend_following,MA20/100,20.0,100.0,10753.61,7.536,-0.807,8.104,5,100.0,15.144,0.0,999.0,6.86
